銘柄コード,銘柄名,入れ替え日,入れ替え日始値,入れ替え日高値,入れ替え日安値,入れ替え日終値,入れ替え日出来高
5713,,5月6日,,,,,
3028,,5月6日,,,,,
5698,,5月6日,,,,,
8256,,5月6日,,,,,
3319,,5月6日,,,,,
9468,,5月6日,,,,,
5020,,5月6日,,,,,
8088,,5月6日,,,,,
5406,,5月6日,,,,,
2782,,5月6日,,,,,
4488,,5月6日,,,,,
5714,,5月7日,,,,,
7695,,5月7日,,,,,
5698,,5月7日,,,,,
7343,,5月7日,,,,,
6200,,5月7日,,,,,
9275,,5月7日,,,,,
2427,,5月7日,,,,,
3328,,5月7日,,,,,
5992,,5月7日,,,,,
1724,,5月7日,,,,,
2695,,5月7日,,,,,
4282,,5月7日,,,,,
5816,,5月7日,,,,,
5726,,5月10日,,,,,
7944,,5月10日,,,,,
5017,,5月10日,,,,,
4936,,5月10日,,,,,
5857,,5月10日,,,,,
3671,,5月10日,,,,,
4088,,5月10日,,,,,
4044,,5月10日,,,,,
7092,,5月10日,,,,,
5202,,5月10日,,,,,
5563,,5月10日,,,,,
3132,,5月11日,,,,,
9104,,5月11日,,,,,
9107,,5月11日,,,,,
8093,,5月11日,,,,,
4980,,5月11日,,,,,
3632,,5月11日,,,,,
5541,,5月11日,,,,,
9684,,5月11日,,,,,
5711,,5月11日,,,,,
2670,,5月11日,,,,,
5480,,5月11日,,,,,
4208,,5月12日,,,,,
6753,,5月12日,,,,,
6997,,5月12日,,,,,
7187,,5月12日,,,,,
5724,,5月12日,,,,,
2371,,5月12日,,,,,
6198,,5月12日,,,,,
7732,,5月12日,,,,,
6255,,5月12日,,,,,
6855,,5月12日,,,,,
3902,,5月12日,,,,,
5020,,5月12日,,,,,
2412,,5月13日,,,,,
6612,,5月13日,,,,,
3978,,5月13日,,,,,
7202,,5月13日,,,,,
6081,,5月13日,,,,,
6337,,5月13日,,,,,
4436,,5月13日,,,,,
4498,,5月13日,,,,,
9997,,5月13日,,,,,
6697,,5月13日,,,,,
6871,,5月13日,,,,,
4971,,5月13日,,,,,
2702,,5月13日,,,,,
7806,,5月14日,,,,,
3288,,5月14日,,,,,
4933,,5月14日,,,,,
5699,,5月14日,,,,,
6584,,5月14日,,,,,
7744,,5月14日,,,,,
7762,,5月14日,,,,,
7936,,5月14日,,,,,
6976,,5月14日,,,,,
3923,,5月14日,,,,,
6378,,5月14日,,,,,
4193,,5月14日,,,,,
3150,,5月17日,,,,,
1447,,5月17日,,,,,
6613,,5月17日,,,,,
3975,,5月17日,,,,,
7685,,5月17日,,,,,
3981,,5月17日,,,,,
8088,,5月17日,,,,,
6616,,5月17日,,,,,
4449,,5月17日,,,,,
3359,,5月17日,,,,,
5943,,5月17日,,,,,
2160,,5月17日,,,,,
7818,,5月18日,,,,,
6070,,5月18日,,,,,
5698,,5月18日,,,,,
4304,,5月18日,,,,,
5724,,5月18日,,,,,
7013,,5月18日,,,,,
3985,,5月18日,,,,,
1605,,5月18日,,,,,
2492,,5月18日,,,,,
6328,,5月18日,,,,,
6191,,5月18日,,,,,
4430,,5月18日,,,,,
9603,,5月18日,,,,,
6775,,5月19日,,,,,
4443,,5月19日,,,,,
6560,,5月19日,,,,,
4449,,5月19日,,,,,
2375,,5月19日,,,,,
6614,,5月19日,,,,,
4192,,5月19日,,,,,
3926,,5月19日,,,,,
4180,,5月19日,,,,,
7048,,5月19日,,,,,
6331,,5月19日,,,,,
9514,,5月19日,,,,,
4563,,5月19日,,,,,
4776,,5月20日,,,,,
6592,,5月20日,,,,,
2158,,5月20日,,,,,
6504,,5月20日,,,,,
9468,,5月20日,,,,,
7272,,5月20日,,,,,
5631,,5月20日,,,,,
4082,,5月20日,,,,,
3356,,5月20日,,,,,
2489,,5月20日,,,,,
7695,,5月21日,,,,,
2427,,5月21日,,,,,
6620,,5月21日,,,,,
7342,,5月21日,,,,,
2152,,5月21日,,,,,
4478,,5月21日,,,,,
6584,,5月21日,,,,,
3856,,5月21日,,,,,
4436,,5月21日,,,,,
7363,,5月21日,,,,,
3683,,5月21日,,,,,
6550,,5月21日,,,,,
4449,,5月21日,,,,,
4193,,5月24日,,,,,
3326,,5月24日,,,,,
7315,,5月24日,,,,,
5212,,5月24日,,,,,
9143,,5月24日,,,,,
1417,,5月24日,,,,,
7236,,5月24日,,,,,
3647,,5月24日,,,,,
8227,,5月24日,,,,,
6580,,5月24日,,,,,
2384,,5月24日,,,,,
3092,,5月24日,,,,,
3085,,5月24日,,,,,
6963,,5月25日,,,,,
7695,,5月25日,,,,,
2148,,5月25日,,,,,
6572,,5月25日,,,,,
4169,,5月25日,,,,,
6191,,5月25日,,,,,
4187,,5月25日,,,,,
2389,,5月25日,,,,,
7048,,5月25日,,,,,
7859,,5月25日,,,,,
4556,,5月25日,,,,,
3675,,5月25日,,,,,
4192,,5月25日,,,,,
6036,,5月26日,,,,,
7994,,5月26日,,,,,
7280,,5月26日,,,,,
7806,,5月26日,,,,,
6997,,5月26日,,,,,
9468,,5月26日,,,,,
9726,,5月26日,,,,,
3891,,5月26日,,,,,
6254,,5月26日,,,,,
2678,,5月26日,,,,,
3092,,5月26日,,,,,
7363,,5月26日,,,,,
9517,,5月26日,,,,,
7816,,5月27日,,,,,
3267,,5月27日,,,,,
2479,,5月27日,,,,,
5332,,5月27日,,,,,
6047,,5月27日,,,,,
9697,,5月27日,,,,,
1407,,5月27日,,,,,
6561,,5月27日,,,,,
6962,,5月27日,,,,,
6264,,5月27日,,,,,
2395,,5月27日,,,,,
6674,,5月28日,,,,,
3189,,5月28日,,,,,
9984,,5月28日,,,,,
6779,,5月28日,,,,,
3996,,5月28日,,,,,
5713,,5月28日,,,,,
3563,,5月28日,,,,,
4082,,5月28日,,,,,
3926,,5月28日,,,,,
6627,,5月28日,,,,,
6640,,5月28日,,,,,
5986,,5月28日,,,,,
6255,,5月28日,,,,,
3479,,5月28日,,,,,
3681,,5月31日,,,,,
4175,,5月31日,,,,,
4384,,5月31日,,,,,
4348,,5月31日,,,,,
4936,,5月31日,,,,,
4493,,5月31日,,,,,
9842,,5月31日,,,,,
3680,,5月31日,,,,,
6951,,5月31日,,,,,
4395,,5月31日,,,,,
9726,,5月31日,,,,,
5992,,5月31日,,,,,
2929,,5月31日,,,,,
7369,,6月1日,,,,,
6981,,6月1日,,,,,
3796,,6月1日,,,,,
6902,,6月1日,,,,,
4369,,6月1日,,,,,
1419,,6月1日,,,,,
2468,,6月1日,,,,,
4082,,6月1日,,,,,
1789,,6月1日,,,,,
4430,,6月1日,,,,,
6844,,6月1日,,,,,
6337,,6月1日,,,,,
6614,,6月2日,,,,,
9468,,6月2日,,,,,
6470,,6月2日,,,,,
9104,,6月2日,,,,,
5698,,6月2日,,,,,
9945,,6月2日,,,,,
5816,,6月2日,,,,,
4047,,6月2日,,,,,
2670,,6月2日,,,,,
2440,,6月2日,,,,,
8088,,6月2日,,,,,
9020,,6月3日,,,,,
9021,,6月3日,,,,,
4059,,6月3日,,,,,
9001,,6月3日,,,,,
3197,,6月3日,,,,,
6584,,6月3日,,,,,
7283,,6月3日,,,,,
7291,,6月3日,,,,,
4436,,6月3日,,,,,
7625,,6月3日,,,,,
6666,,6月3日,,,,,
5333,,6月3日,,,,,
4395,,6月3日,,,,,
9201,,6月4日,,,,,
9024,,6月4日,,,,,
2729,,6月4日,,,,,
8864,,6月4日,,,,,
9104,,6月4日,,,,,
3934,,6月4日,,,,,
2412,,6月4日,,,,,
7013,,6月4日,,,,,
4651,,6月4日,,,,,
3612,,6月4日,,,,,
8011,,6月4日,,,,,
4177,,6月4日,,,,,
5976,,6月4日,,,,,
7280,,6月4日,,,,,